column_name,feature_weight
recent_team,2.396141852709663
position,0.0
position_group,0.0
season_type,0.00021280147753332935
completions,1.2597015626836707
attempts,0.3505748367726587
passing_yards,1.0951831870071373
passing_tds,0.5266195465697924
interceptions,0.3249177782401055
sacks,0.3326558730239947
sack_yards,0.3564904120708061
sack_fumbles,0.3917284702456901
sack_fumbles_lost,0.0016765425277922616
passing_air_yards,1.7234492980568292
passing_yards_after_catch,1.907490997692122
passing_first_downs,0.2178051541220385
passing_epa,0.27675109911115103
passing_2pt_conversions,0.003755139910434431
pacr,0.35007022811425703
dakota,0.945321007970169
carries,0.8511838849044441
rushing_yards,0.4458372029501824
rushing_tds,0.0024675255695660826
rushing_fumbles,0.00517210294129462
rushing_fumbles_lost,0.0
rushing_first_downs,0.5202428647076878
rushing_epa,0.4652101469134442
rushing_2pt_conversions,0.006372200244880938
last_weeks_fantasy_points,1.6167809359299816
last_weeks_fantasy_points_ppr,1.8684804190116746
number_of_games_played,0.7527735262096084
games_with_team,2.6478599543866053
avg_passing_yards_last_2_games,1.2560634733243141
avg_passing_tds_last_2_games,0.2812047398167829
avg_interceptions_last_2_games,0.1331527476893388
avg_rushing_yards_last_2_games,1.0222303573123892
avg_rushing_tds_last_2_games,0.16648813482863767
avg_sack_fumbles_last_2_games,0.1440600595396588
avg_rushing_fumbles_lost_last_2_games,0.23985952658096485
avg_passing_yards_last_3_games,1.6145155813481515
avg_passing_tds_last_3_games,0.49026378188752356
avg_interceptions_last_3_games,0.41089814327110064
avg_rushing_yards_last_3_games,0.7562016567874764
avg_rushing_tds_last_3_games,0.3192409576631732
avg_sack_fumbles_last_3_games,0.6557399928427317
avg_rushing_fumbles_lost_last_3_games,0.017204056004978225
avg_passing_yards_last_4_games,1.167927660355117
avg_passing_tds_last_4_games,0.4199910792097139
avg_interceptions_last_4_games,0.4552414980162196
avg_rushing_yards_last_4_games,1.2798624876899036
avg_rushing_tds_last_4_games,0.09925194726159262
avg_sack_fumbles_last_4_games,0.0
avg_rushing_fumbles_lost_last_4_games,0.11496469780733419
avg_passing_yards_last_5_games,2.254418107881987
avg_passing_tds_last_5_games,0.8483496371396868
avg_interceptions_last_5_games,0.7698038862749046
avg_rushing_yards_last_5_games,1.3482436880107596
avg_rushing_tds_last_5_games,0.21118150115098444
avg_sack_fumbles_last_5_games,0.11742648291882928
avg_rushing_fumbles_lost_last_5_games,0.19363070429996818
avg_passing_yards_last_6_games,0.6591900423026674
avg_passing_tds_last_6_games,0.45267906643723455
avg_interceptions_last_6_games,1.0063992734220037
avg_rushing_yards_last_6_games,1.3495874197380686
avg_rushing_tds_last_6_games,1.0691960854214344
avg_sack_fumbles_last_6_games,0.3269640273689343
avg_rushing_fumbles_lost_last_6_games,0.09376508517043285
avg_passing_yards_last_7_games,2.983349832025946
avg_passing_tds_last_7_games,0.30083095372164864
avg_interceptions_last_7_games,0.6029915250679359
avg_rushing_yards_last_7_games,1.6459343101105146
avg_rushing_tds_last_7_games,1.4381443243650835
avg_sack_fumbles_last_7_games,0.19941954269226786
avg_rushing_fumbles_lost_last_7_games,0.349936113114235
avg_passing_yards_last_8_games,1.2999212900023636
avg_passing_tds_last_8_games,1.092759123950379
avg_interceptions_last_8_games,0.599606864443169
avg_rushing_yards_last_8_games,1.4859874799579054
avg_rushing_tds_last_8_games,0.7734165096789062
avg_sack_fumbles_last_8_games,0.08721926742002101
avg_rushing_fumbles_lost_last_8_games,0.20366774842774443
avg_passing_yards_last_9_games,1.3351437675823756
avg_passing_tds_last_9_games,0.8628703497619685
avg_interceptions_last_9_games,0.48200282036150954
avg_rushing_yards_last_9_games,1.0709497154073881
avg_rushing_tds_last_9_games,0.9570004097779061
avg_sack_fumbles_last_9_games,0.17921030210079383
avg_rushing_fumbles_lost_last_9_games,0.3990645729206139
avg_passing_yards_last_10_games,1.1919560726716734
avg_passing_tds_last_10_games,0.5027361906957444
avg_interceptions_last_10_games,0.9218671989299551
avg_rushing_yards_last_10_games,1.440135543220654
avg_rushing_tds_last_10_games,0.4854802906177991
avg_sack_fumbles_last_10_games,0.07860325380560977
avg_rushing_fumbles_lost_last_10_games,0.8094722983123281
entry_year,2.3124671565255883
rookie_year,3.0407999346823376
draft_club,6.351214836406874
draft_number,0.6011729689022909
report_status,0.28030072532512956
practice_status,0.15044310706673628
current_injury,0.22349095400039357
number_times_on_injury_report_season,0.011971332109023552
number_times_out_play_status_season,0.03334836430945065
number_times_out_practice_status_season,0.0
years_played,0.5109553167597071
draft_team,0.7926510077820087
drafted_high,0.0
is_rookie,0.03476397630566234
last_week_home_away,0.3395222771125259
last_week_weekday,0.5031710916892568
last_week_gametime,0.5371166771015756
last_week_away_team,0.5832797818946027
last_week_away_score,0.2537754194054343
last_week_home_team,0.595151861704786
last_week_home_score,0.5323831569342073
last_week_location,0.2331153715373145
last_week_overtime,0.051302405348969626
last_week_roof,0.9300883352823607
last_week_surface,0.9822815083006052
last_week_temp,0.21089212941483965
last_week_wind,0.03753134747004115
last_week_stadium,1.1634026156764392
next_week_home_away,1.0553428108083565
next_week_weekday,0.15057984443029535
next_week_gametime,0.47034635110825734
next_week_away_team,0.6076770566783765
next_week_home_team,0.28613372084427835
next_week_location,0.007437920900094845
next_week_roof,0.5212122997080919
next_week_surface,0.6284478629220436
next_week_stadium,0.2767704402164144
year_signed,0.6071512188222223
number_years,0.1760899646333447
contract_value,2.793241378190432
apy,0.9362738297421961
guaranteed,2.6435519806886205
number_of_seasons_since_last_contract,0.37534785126417186
